breed,name,height,weight,life_exp,group,country,history,colors
brittany_spaniel,Brittany Spaniel,17.5-20.5 inches,30-40 pounds,12-14 years,Pointing Dogs,france,"Brittany is the westernmost region of France, surrounded by the English Channel to the north and the Bay of Biscay to the south. It was here, hundreds of years ago, that French hunters developed what is today considered one of the world’s most versatile bird dogs, capable of working on duck, woodcock, pheasant, partridge—just about anything with feathers.The Brittany first comes into historical focus in paintings and tapestries of the 17th century. The frequency with which Brittany-type dogs appear in the portraits and pastoral scenes by French, Flemish, and Dutch masters of the period suggest that liver-and-white pointing dogs were quite common in Western Europe.The Brittany is a rustic dog whose original devotees were medieval peasants and poachers, people for whom thriftiness was a way of life. Unable to support a full kennel, they placed a premium on dogs capable of being all-purpose workers. The versatility bred into Brittanys in the long-ago French countryside has never left the breed.The Brittany was introduced to America in 1931. In 1934, the AKC registered its first dog of the breed, then called the Brittany Spaniel. (In France, the breed is still known as “l’épagneul Breton,” or Brittany Spaniel.) During the 20th century, American and French lines diverged. By mid-century, the U.S. breed fancy considered their Brittanys more pointers than spaniels in working style, and the AKC breed named was shortened to Brittany in 1982.Under any classification, Brittanys are happy, durable hunting companions prized for stamina and an excellent nose for birds. They are among America’s most popular and successful field dogs. Over the years, hundreds of Brittanys have earned the AKC’s elusive Dual Champion title, indicating a dog that is both a handsome showman in the ring and a capable gundog in the field.","Liver & White,Liver White & Orange,Orange & White,White & Liver,White & Orange,Black & White,Black White & Orange,White Black & Orange,Roan,Spotted,Ticked"
maltese_dog,Maltese Dog,7-9 inches,under 7 pounds,12-15 years,Companion and Toy Dogs,central mediterranean basin,"Malta lies 60 miles due south of Sicily, in the middle of the Mediterranean Sea. In ancient times, the island was a crossroads for pilgrims, mariners, and wealthy merchants from three continents. As far back as 3500 B.C. Malta was a thriving seaport and a seat of finance and culture.During a 2,000-year period beginning in 1500 B.C. this strategic gateway was conquered and occupied by successive waves of seafaring empire-builders—Phoenicians, Greeks, Carthaginians, Romans, Arabs, and Normans—for whom the island was a clearinghouse for precious commodities, such as spices, silks, gemstones, and a certain little white lapdog favored by leisured ladies the world over. It is likely that the Maltese was introduced to Malta by the Phoenicians, who ruled the Mediterranean before the rise of Greece.The Greeks of the fourth and fifth centuries B.C. were fascinated by the Maltese’s geometric beauty and left behind a rich legacy of breed-specific treasures: The “Melitaie Dog” is depicted on Golden Age ceramics, and Aristotle refers to it as “perfectly proportioned,” notwithstanding a diminutive stature.Aristocrats of the Roman Empire perfected the Maltese’s role of status symbol and fashion statement. A Roman matron wasn’t fully dressed without a “Roman Ladies’ Dog” peeking out of her sleeve or bosom. Even the crusty Emperor Claudius succumbed to the breed’s charm. The Maltese was a persistent motif in Roman myths, poems, and fables in which the breed symbolized loyalty. One legend concerns Saint Paul, the peripatetic apostle of early Christianity. The Acts of the Apostles recounts Paul’s shipwreck on Malta, where he miraculously healed the father of the island’s Roman governor, Publius. The grateful Publius, so the story goes, presented Paul with a Maltese.After the fall of Rome, it was Chinese breeders who kept the Maltese from extinction during Europe’s Dark Ages. The Chinese effected judicious crosses with their native toy breeds and exported a more refined Maltese back to Europe. With its immense charm and eye-catching looks, it comes as no surprise that the Maltese was a fixture at dog shows from the very beginning. At New York’s first Westminster show, in 1877, the breed was exhibited as the Maltese Lion Dog.","White,White & Lemon,White & Tan"
curly-coated_retriever,Curly-Coated Retriever,"25-27 inches (male), 23-25 inches (female)",60-95 pounds,10-12 years,Retrievers,great britain,"Curlies are thought to be among the oldest of the retriever breeds. In contrast to spaniels and setters, though, retrievers are newbies on the sporting scene. They arrived only in the late 1700s, after wing shooting with rifles became practical.The genetic jigsaw puzzle that is the Curly-Coated Retriever was pieced together in England during the 1800s. No written records of the breed’s earliest history exist, but we can make some educated assumptions. The Curly is popularly believed to be descended from two breeds now extinct, the English Water Spaniel and the Retrieving Setter. It is assumed that Irish Water Spaniel blood is also among the Curly’s ancestor breeds, as was the St. John’s Dog, a smallish type of Newfoundland. By 1860, their unique look and proud bearing made Curlies popular attractions at England’s first dog shows.In the early 1880s, the Curly was said to have been crossed to the Poodle to tighten the Curly’s distinctive, low-shedding curls. Poodle blood might have also contributed to the Curly’s elegant carriage and complex character.By the late 19th century the Curly had taken his place as a cherished companion of British sportsmen. In this period the Curly was exported as far afield as Australia and New Zealand, where it remains popular among hunters as an all-purpose retriever admired for a steady disposition and tender mouth.The spectacular rise of Labs and Goldens has long since eclipsed the Curly’s prominence among the retriever breeds, but they retain a small but ardent following around the world. The Curly entered the AKC Stud Book in 1924.","Black,Liver"
doberman,Doberman,"26-28 inches (male), 24-26 inches (female)","75-100 pounds (male), 60-90 pounds (female)",10-12 years,Pinscher and Schnauzer,germany,"Since the invention of money, one thing has been certain at all times and in all places: The tax collector is never a welcome visitor. In certain precincts of 19th century Germany, the reception was downright hostile. All too aware of this was taxman and dog breeder Louis Dobermann, from the town of Apolda. He hoped to breed an imposing but dependable protector to accompany him on his rounds.Dobermann’s handiwork was a larger, less refined version of the pinscher that today bears his name (minus the extra “n,” which was dropped somewhere along the way). Historians mention the Black and Tan Terrier (forerunner of the Manchester Terrier), German Pinscher, Rottweiler, and smooth-coated herding dogs among the components of Dobermann’s new breed. The “Tax Collector’s Dog” quickly gained an international reputation as a working dog supreme. Dobermans have excelled at police and military K-9 duty, as therapy dogs and service dogs for the disabled, as search-and-rescuers, and in competitive dog sports. During World War II, the U.S. Marine Corps Dobermans of the Pacific won the breed great fame. Twenty-five of these loyal “Devil Dogs” died during the battle for Guam. With their muscular good looks and proud gait, Doberman Pinschers are consistent winners in the ring. A dog named Storm won Westminster’s Best in Show two years running, in 1952 and ’53. The Doberman Pinscher came to the AKC in 1908 and has since reigned as one of America’s most popular working breeds.","Black & Rust,Blue & Rust,Fawn (Isabella) & Rust,Red & Rust,White"
shetland_sheepdog,Shetland Sheepdog,13-16 inches,15-25 pounds,12-14 years,Sheepdogs and Cattledogs (except Swiss Cattledogs),great britain,"Shetland Sheepdogs were originally bred on the rocky Shetland Islands, the United Kingdom’s northernmost point. They were employed by farmers to herd sheep, ponies, and poultry. (“Toonie dog” was an old slang name for Shelties, “toon” being a Shetland word for farm.)There’s a reason why the Sheltie was bred smaller than his close cousin, the rough-coat Collie. Thanks to their compact size, the Sheltie eats less than the Collie and other large herding dogs. This is an important consideration in the harsh, cold climate of the breed’s homeland, where food can be scarce. This also explains the diminutive size of Shetland ponies.Exactly when Collies were imported to the island from the Scottish mainland and bred down to Sheltie size is a detail lost to history, as the islands’ breeders left behind no written records. And, because the islands were so inaccessible, Shelties lived in virtual isolation from other breeds and were nearly unknown in the rest of Britain until the early 20th century.The Sheltie was first recognized by the Kennel Club (England), as the Shetland Collie, in 1909. Under pressure from Collie fanciers, the breed name was changed soon after to Shetland Sheepdog. The AKC registered its first dog of this remarkably bright and obedient breed in 1911.","Black & White,Black White & Tan,Blue Merle & White,Blue Merle White & Tan,Sable & White,Sable Merle & White,Black & Tan,White,White & Black,White & Sable,White & Sable Merle,White Black & Tan,White Blue Merle & Tan"
lakeland_terrier,Lakeland Terrier,"14-15 inches (male), slightly smaller (female)","17 pounds (male), slightly smaller (female)",12-15 years,Terriers,great britain,"Lakelands are among the oldest of Britain’s terriers. The name derives from the beautiful Lake District in northern England, where once upon a time farmers used small packs of dogs to rid their property of foxes that raided sheepfolds. This, of course, was a very different kind of English foxhunt than the glamorous affairs on grand country estates, with dozens of red-coated equestrians and huge packs of bawling hounds. The Lakeland was first and foremost workingman’s working terrier.","Black,Black & Tan,Blue,Blue & Tan,Grizzle & Tan,Liver,Red,Wheaten,Brindle,Grizzle,Liver & Tan"
mexican_hairless,Mexican Hairless,"10-14 inches (toy), 14-18 inches (miniature), 18-23 inches (standard)","10-15 pounds (toy), 15-30 pounds (miniature), 30-55 pounds (standard)",13-18 years,Spitz and primitive types,mexico,"Xolos are national treasures in Mexico, with a history that goes back at least 3,000 years. Mentions of these “strange hairless dogs” appear in the journals of Columbus and other European explorers. Ancient Aztecs named the breed for their dog-headed god Xolotl. Xolos were considered sacred by the Aztecs and often were sacrificed and buried alongside their owners to serve as protective guides to the next world. In modern times, Xolos are dedicated watchdogs and companions.","Black,Brindle,Bronze,Fawn,Gray,Liver,Palomino,Red,White,Black & White,Black White & Tan,Merle,Pink & Brown,Tan,White & Black,Spotted"
saint_bernard,Saint Bernard,"28-30 inches (males), 26-28 inches (female)","140-180 pounds (male), 120-140 pounds (female)",8-10 years,Pinscher and Schnauzer,switzerland,"In the year 1050, at a snowy pass within the Alps, a monk named Bernard of Menthon (later canonized) established a hospice to aid pilgrims journeying to Rome. At 8,000 feet above sea level, with drifts as high as 40 feet, crossing the pass was treacherous. Over several centuries the hospice monks developed powerful working dogs able to locate and rescue luckless travelers buried by drifts and avalanches. Myth busted: Dogs of the Great St. Bernard Pass didn’t carry casks of brandy around their necks.","Brown & White,Mahogany & White,Orange & White,Red & White,Rust & White,White & Brown,White & Orange,White & Red"
english_foxhound,English Foxhound,24 inches,60-75 pounds,10-13 years,Scent hounds and related breeds,great britain,"In medieval England, aristocrats and their hounds hunted stag in the vast forests that had overtaken Britain during the Dark Ages that followed the fall of the Roman Empire. The killing of foxes, those wily henhouse poachers, was considered merely a chore for lowly farmers and groundskeepers. This changed with the waning of the Middle Ages. As the population grew, the forests receded and the deer population dwindled. The British gentry, wishing to continue their ritualized horses-and-hounds pastime, slowly phased out stag hunting in favor of a new type of quarry: the red fox. The traditional British foxhunt, with packs of bawling hounds and mounted hunters thundering over rolling acres of lawn and hedge, began in the 1600s. “Masters of hounds” developed a dog for this lordly pastime by breeding big stag-hunting hounds (for nose and endurance) to leggy Greyhound-type hounds (for speed and agility). The result was the English Foxhound, whose form and demeanor remain remarkably unchanged today. By the 1700s, foxhunts were all the rage among the English upper crust. Colonial American sportsmen, including George Washington and his wealthy Virginia neighbors, recreated a bit of their mother country by staging English-style foxhunts on their plantations. Washington was a key figure in creating the American Foxhound, a slimmer, taller hound developed by crosses of English Foxhounds to imported French hounds from the kennels of the Marquis de Lafayette. It is likely also that English Foxhound blood courses through the veins of coonhound breeds developed by American frontiersmen.","Black White & Tan,Lemon & White,White"
borzoi,Borzoi,"28 inches & up (male), 26 inches & up (female)","75-105 pounds (male), 60-85 pounds (female)",9-14 years,Sighthounds,russia,"During the centuries of Romanov rule in Russia, wolf hunting was an all-consuming passion of the Russian aristocracy. Nobles would stage ritualized hunts—festivals, really—on their vast estates, with their guests, horses, and hounds ferried in on special hunt trains. It wasn’t unusual for a hundred Borzoi and just as many servants to be employed in these extravagant affairs, which traditionally concluded with a great feast at the manor house.“It is difficult today to even imagine the grand scale and magnificence to which the gentle Borzoi is heir,” wrote a breed historian. “Before 1861, and to a lesser extent after that time up to the Russian Revolution in 1917, the time, effort, and money expended on these ‘hunts,’ as they were called, is surely unequaled in the development of any breed.” Russia’s great novelist Leo Tolstoy, himself a devoted Borzoi fan, immortalized one of these grand spectacles in his War and Peace.With the Revolution came the wholesale slaughter of the Romanov family, their nobles, and their aristocratic hounds. This was a disaster that set back Russian breeding of Borzoi and other national breeds for much of the 20th century. If not for the Borzoi’s devotees abroad, the breed might have gone extinct.In the years leading up to the Revolution, dog fanciers in England and America had begun the importation of Borzoi to their shores. These early imports ensured the breed’s survival. In the English-speaking world, the breed name was Russian Wolfhound. In America this changed in 1936, when after a long and spirited debate pro and con among the U.S. breed fancy, the breed was officially rechristened the Borzoi, from the Russian borzyi, meaning “swift.”By all accounts, this noble breed of haughty looks and sterling temperament is little changed from the hounds Tolstoy described so movingly in his writings.","Black,Black & Brindle,Black & Cream,Black & Tan,Brindle,Cream,Gold,Red,Sable,White,Apricot,Blue,Blue & Cream,Brown,Fawn,Silver"
leonberg,Leonberg,"28-31.5 inches (male), 25.5-29.5 inches (female)","110-170 pounds (male), 90-140 pounds (female)",9 years,Pinscher and Schnauzer,germany,"Unique among the big guys of the AKC Working Group, Leos were developed first and foremost as companions. The breed was the brainchild of Heinrich Essig, a 19th-century politician and entrepreneur of Leonberg, Germany. Utilizing Saint Bernards and Newfoundlands, among other large working breeds, Essig’s goal was to breed a majestic pet for European royalty—truly a dog fit for a king. He succeeded grandly, and such clients as Napoleon III, Tsar Alexander II, and the Prince of Wales (later King Edward VII) lined up to add this stately companion to their royal courts. Other famous Leonberger owners, aristocrats in spirit if not of blood, have included composers Richard Wagner and Sergei Rachmaninoff, and the Italian patriot Giuseppe Garibaldi. Despite their regal beginnings, Leos have long been employed as versatile working dogs on farms, pastures, and waterfronts. They are surprisingly nimble and make excellent swimmers. A specialty of the breed is cart pulling, an activity that provides an enjoyable outlet for their prodigious strength.","Red,Sandy,Yellow"
welsh_springer_spaniel,Welsh Springer Spaniel,"18-19 inches (male), 17-18 inches (female)","40-55 pounds (male), 35-50 pounds (female)",12-15 years,Retrievers,great britain,"According to leading authorities, Welshies are the oldest of Britain’s spaniels, descendants of the original spaniels of the Iberian Peninsula (the word spaniel is derived from “Spaniard”). Exactly how these dogs traveled in ancient times from Spain to Wales is one of those canine mysteries that historians chalk up as “lost in the mists of history,” but Welshie-type dogs appear in British art and literature going back some 250 years BC. Welsh and English Springers emerged as separate breeds in the early 1900s.",Red & White
wire-haired_fox_terrier,Wire-Haired Fox Terrier,15½ inches,"18 pounds (male), 15-17 (female)",12-15 years,Terriers,great britain,"Fox Terriers as we know them today took shape in the late 1700s, during the heyday of British foxhunts. The terrier’s job was to bolt the fox from its lair, enabling hounds and horsemen to join the pursuit over open country. Fox Terrier coats are mostly white, with no red allowed, to avoid being mistaken for foxes during a hunt.The Wire has always been a consistently successful show dog, with, at this writing, a record 15 Westminster Kennel Club Bests in Show. In one of the great bargains in show-dog history, Matford Vic, a Wire bought from a farmer for $10, won Westminster in 1915 and 1916. In England, Wire and Smooth Fox Terriers have been recognized as separate breeds, with different registries and breed standards, since the late 19th century. The AKC did not recognize Wire and Smooth Fox Terriers as distinct breeds until 1985.Among the many beloved Wires of history was Caesar, the favorite dog of King Edward VII, who enchanted the British Empire. The Wire’s popularity received a major boost in the 1930s and ’40s thanks to Asta, the comical Wire who costarred with William Powell and Myrna Loy in six “Thin Man” movies. Since Asta’s time, the Wire’s striking looks, expressive features, and natural performing skills have made the breed a familiar presence in movies and on TV.","White,White & Black,White & Tan,White Black & Tan,White Tan & Black"
miniature_poodle,Miniature Poodle,10-15 inches,10-15 pounds,10-18 years,Companion and Toy Dogs,france,"The Poodle is the national dog of France, and the French sure do love their Poodles. There is, however, no such breed as the “French Poodle.” In France, Poodles are known as the Caniche, or “duck dog.”Despite the Poodle’s association with France, the breed originated as a duck hunter in Germany, where the word “pudelin” refers to splashing in water. The Standard Poodle began its development as a retrieving water dog more than 400 years ago. With a crisp, curly coat as protection against the elements, superlative swimming ability, and off-the-charts intelligence, the Poodle was, and still is, a magnificent retriever. (The Standard is the only breed classified as a non-sporting dog that is eligible for AKC Retriever Hunting Tests.)The flamboyant Poodle show coat served a practical purpose in the breed’s early years. Hunters wanted their dogs to have free range of movement in the water, but they also wished to protect vital areas of the anatomy from the cold. They shaved the legs, neck, and tail but left the chest, hips, and leg joints coated. The rounded tufts on the legs, hips, and tail tip are called pompons. (Note the spelling: Cheerleaders have pom-poms; Poodles have pompons.)The Poodle’s many fine qualities allowed it to move from the lake to the lap of luxury. Elegant Poodles of the Standard and Miniature varieties found favor among the nobles of France and, eventually, all of Europe. The breed’s showy looks and trainability made it a natural entertainer, and Poodles have long been associated with the European circus tradition. An excellent nose brought the Poodle additional work as a truffle hunter.The Standard was bred down to the Miniature. The Toy was first bred in America, in the early 20th century, as a city-dwelling companion dog. Well-bred specimens of each variety are exact replicas of each other and are bred to the same standard.","Apricot,Black,Blue,Brown,Cream,Gray,Red,Silver,White,Black & Apricot,Black & Brown,Black & Cream,Black & Gray,Black & Red,Black & Silver,Black & Tan,Black & White,Blue & White,Brown & Apricot,Brown & White,Cream & White,Gray & White,Red & Apricot,Red & White,White & Apricot,White & Silver"
newfoundland,Newfoundland,"28 inches (male), 26 inches (female)","130-150 pounds (male), 100-120 pounds (female)",9-10 years,Pinscher and Schnauzer,canada,"Canadian fisherman long relied on Newfoundlands as peerless shipboard working dogs who specialized in dramatic water rescues. Newfs are born swimmers, complete with partially webbed feet, and strong enough to save a grown man from drowning. Their prowess as rescuers is the stuff of legend: What the Saint Bernard is to the Alps, the Newfoundland is to the icy waters of the North Atlantic. Newfs also earned their keep by hauling fishing nets to shore and carting the day’s catch to market. Although the Newf’s career as a seagoing deckhand is mostly a thing of the past, the breed is still considered the premium water-rescue dog and is employed in that role the world over.The Newf is one of the world’s most beloved breeds, and history is rife with examples of their dedication to humankind. In 1802, when Lewis and Clark began their historic 8,000-mile trek across the American continent, a Newfoundland named Seaman was part of the expedition. He was useful as a hunter and guard dog, once saving lives by running off a rogue buffalo that was charging the camp. Today, Seaman is depicted in 10 different Lewis and Clark monuments across the country.A well-visited tourist attraction in England, where Newfs have always been a great favorite, is a monument erected by Lord Byron at Newstead Abbey for his cherished Newf, Boatswain. The monument’s inscription, devised by the great poet himself, eulogizes Boatswain, “Who possessed Beauty without Vanity/Strength without Insolence/Courage without Ferocity/And all the Virtues of Man without his Vices.” Such was Byron’s regard for his Newf that Boatswain’s tomb at the abbey is larger than his own.A Newfoundland named Brumus burnished his breed’s “nanny dog” reputation by helping Senator and Mrs. Robert F. Kennedy look after their 11 children.","Black,Brown,Gray,White & Black,Beige,Black & Tan,White & Brown,White & Gray"
toy_terrier,Toy Terrier,8.5-11.5 inches,3.5-7 pounds,13-15 years,Decorative dog companions,United States,"In the early 20th century, American breeders of Smooth Fox Terriers created the Toy Fox Terrier by crossing their litter runts with toy dogs, Chihuahuas and Italian Greyhounds among them. The result was a dog possessing the fire of a true terrier but with a beguiling toy-breed personality. They began as barnyard ratters but soon found their way to show business, where their cleverness, grace, and nifty looks served them well as circus trick dogs. Today they perform at championship levels in competitive agility.","White & Black,White & Tan,White Black & Tan,White, Chocolate & Tan,White & Chocolate"
irish_water_spaniel,Irish Water Spaniel,"22-24 inches (male), 21-23 inches (female)","55-68 pounds (male), 45-58 pounds (female)",12-13 years,Retrievers,ireland,"Centuries ago, spaniels were divided into land and water varieties. The water variety consisted of the now extinct Tweed Water Spaniel as well as English and Irish breeds. In Ireland prior to the 1850s, two different water spaniel strains existed: the South Country Water Spaniel and the North Country Water Spaniel. The Irish Water Spaniel as we know it today developed from both of these strains, but most closely resembles the South Country type.Beginning in the 1830s, Justin McCarthy, a sportsman from Dublin, refined the type away from its aforementioned varieties and into a distinct and repeatable breed. His dog, Boatswain, was the first purebred IWS. By 1859, the Irish Water Spaniel began to appear in dog shows.The popularity of the IWS grew quickly with English and Irish sportsmen due to its retrieves, disposition, and its ability to handle the cold waters of the North Sea. Soon, word spread to America and in the 1870s, a number of dogs were imported. By 1875, the Irish Water Spaniel became the third most popular sporting breed in the US.",Liver
gordon_setter,Gordon Setter,"24-27 inches (male), 23-26 inches (female)","55-80 pounds (male), 45-70 pounds (female)",12-13 years,Pointing Dogs,great britain,"Gordon Setters first started to hunt game birds almost 200 years ago. The setter was developed to lay down quietly, or “set,” when they located birds. This style of hunting at the time would then require the hunter to cast a net in the area, sometimes covering the dog as well, and flush and harvest the birds that were ensnared there. The 19th century saw a divergence of Setters into different breeds, evolving based on their location and the terrain in which they hunted. The Gordon Setter’s heavy bone and square frame suggests its usefulness in the difficult, craggy landscape of Scotland.An important figure in this breed’s development was Alexander Gordon, the Fourth Duke of Gordon and a setter fancier (d. 1827), who founded a kennel of “Black and Tan Setters” at Gordon Castle. Though his early dogs looked more like the English Setter, crosses with the flat-coated black and tan collie, Bloodhounds, black Pointers, and solid-black setters helped mold the Gordon Setter breed into what it is today.The United States saw its first import of Gordon Setters in 1842 when George Blunt of New York brought a male and female named Rake and Rachael.In 1872, the British Kennel Club declared the Black and Tan Setter an official breed. In 1878, the breed was registered in America as well and recognized by the AKC in 1884. Eight years after that, the AKC changed the breed’s name from the Gordon Castle Setter to the Gordon Setter. It was not until January 1, 1924 that the Kennel Club accepted the Gordon Setter name as well.","Black & Tan,Red,Tan"
great_pyrenees,Great Pyrenees,"27-32 inches (male), 25-29 inches (female)","100 pounds & up (male), 85 pounds & up (female)",10-12 years,"Pinscher and Schnauzer type dogs, Molossoids and mountain dogs and Swiss mountain dogs",France,"​Pyrs were bred centuries ago to work with shepherds and herding dogs in the Pyrenees Mountains, the natural border between France and Spain.The Pyr’s job was to watch the flock and deter predators, whether wolves, bears, or livestock rustlers. Their innate patience came in handy when sitting atop a freezing-cold mountain for days on end with nothing to do but look at sheep. Their courage when defending the flock is legendary.",White
scotch_terrier,Scotch Terrier,10 inches,"19-22 pounds (male), 18-21 pounds (female)",12 years,Terriers,great britain,"Developed to hunt rats, foxes, and badgers on the craggy Scottish Highlands, the Scottish Terrier is a venerable breed. In fact, it is thought to be the oldest of the Highland terriers. And one authority calls the breed “the oldest variety of the canine race indigenous to Britain.” At various times in the breed’s long history there has been controversy about its origins and type. In fact, dog folks spent much of the 1800s arguing over what was a Scottish Terrier and what was a terrier that happened to be Scottish. Despite his humble farm-dog origins, the Scottie had friends in high places. In the 17th century, England’s King James I, a Scot by birth, was well acquainted with the breed and gave them as gifts.The first Scottie imports arrived in America in 1883, and two years later the AKC registered its first Scottie, a male named Prince Charlie. The Scottie’s peak of popularity was the 1930s and early ’40s, with such celebrity owners as Humphrey Bogart and Bette Davis under the spell of the breed’s spicy charm. The Scottie silhouette is a familiar motif of Depression-era knickknacks and advertising, and the image is still popular today with textile makers looking for a sporty retro-kitsch accent for their designs. History’s most famous Scottie was Fala, the constant companion of President Franklin Roosevelt during World War II.","Black,Brindle,Wheaten"
siberian_husky,Siberian Husky,"21-23.5 inches (male), 20-22 inches (female)","45-60 pounds (male), 35-50 pounds (female)",12-14 years,Spitz and primitive types,united states of america,"The Siberian Husky’s compact body, well-furred coat, erect ears, and thick, sickle-shaped tail immediately suggest the breed’s northern heritage. The breed’s ancestors were originally bred in northeastern Asia by the Chukchi people and were kept as companion dogs for their families as well as endurance sled dogs.When changing climate conditions forced the semi-nomadic Chukchi to expand their hunting grounds or perish, they rose to the challenge by developing a sled dog capable of hauling light loads over vast expanses of frozen wasteland in sub-zero temperatures, with a minimum expenditure of energy. The Chukchi, isolated from the rest of the world, were able to maintain the purity of their sled teams for many generations. The dogs they developed were the direct forerunners of today’s Siberian Husky.Siberians caught the eye of the public when they began winning sled races in the early 1900s, but they made headlines in 1925 when a legendary musher Leonhard Seppala led a relay of Siberian Huskies 658 miles in only five and a half days to rush a lifesaving serum to Nome, Alaska, where an epidemic of diphtheria had broken out. The thrilling “serum run,” reported breathlessly in newspapers around the world, won Siberians a popularity that has not abated to this day. Balto, who was Seppala’s lead dog on the final leg of the journey, remains one of the most honored hero dogs in canine history; a statue of him stands in New York City’s Central Park.Mushers still keep packs of sledding Siberians for fun and sport throughout North America. Less adventurous devotees of the breed simply enjoy the company of this sociable, gentle companion.","Agouti & White,Black,Black & White,Black Tan & White,Brown & White,Gray & White,Red & White,Sable & White,White,Piebald"
komondor,Komondor,"27.5 minimum inches (male), 25.5 minimum inches (female)","100 pounds or more (male), 80 pounds or more (female)",10-12 years,Sheepdogs and Cattledogs (except Swiss Cattledogs),hungary,"​For many centuries the Komondor has been the king of Hungarian flock dogs. Koms guard sheep at pasture. They’re confident and tough enough to run off wolves and other ferocious beasts of prey. The dreadlocks give the dog a cool, funky look, but they aren’t for show. They provide protection from extreme weather and sharp-toothed predators. The cords also let Koms blend in with the sheep, giving them the element of surprise.",White
bluetick,Bluetick,"22-27 inches (male), 21-25 inches (female)","55-80 pounds (male), 45-65 pounds (female)",11-12 years,Not recognized,United States,"Dogs classified as hounds were bred to pursue warm-blooded quarry. Hounds can be either “sighthounds” or “scenthounds.” Sighthounds (Whippets  and Greyhounds, for example) use keen vision and speed to spot and pursue prey. Scenthounds—whether a Beagle pursuing a rabbit, or a Bloodhound on human scent—use an uncanny sense of smell to follow a trail over a distance to locate their quarry. Blueticks and their coon-dog cousins are scenthounds.Like all coonhound breeds, the Bluetick is an American creation. Bluetick bloodlines are said to extend back to before the founding of the country, specifically to French staghounds given to George Washington as a gift from his great friend, the Marquis de Lafayette. These were huge, ponderous dogs, easy to follow on foot. Breeders mixed in some English Foxhound along with a few other hound breeds to develop a high-endurance and meticulous hunter with a “cold nose.” (This is coon-hunter lingo describing a dog capable of working scent trails that are hours, even days, old.)These early Blueticks were used by frontiersmen in pursuit of the wily raccoon, but were often expected to work in packs as a big-game hunter on such dangerous quarry as bear, wild boar, lynx, and cougar. In the early 20th century, Fred Gipson, author of “Old Yeller,” wrote about a line of famous Blueticks: “In this breeding they’ve got a big, bell-voiced hound with a nose that can pick up a week-old trail, the endurance to run that trail 30 hours at a stretch, and the lusty courage that’ll make him tackle anything that won’t take a tree before he catches him.”The breed has changed little since Gipson’s time. Blueticks are still a coon hunter’s delight, and they are still fixtures in Southern culture. Since 1953, the Bluetick Coonhound has been the University of Tennessee’s sports mascot.",Blue Ticked & Tan
cairn,Cairn,"10 inches (male), 9.5 inches (female)","14 pounds (male), 13 pounds (female)",13-15 years,Terriers,great britain,"The Cairn is one of several terrier breeds, some still extant others now extinct, who for centuries patrolled the game preserves and farms of Scotland. Unravelling the histories of these breeds is difficult because for so many years they were lumped together as simply Scotch terriers. Not until the late 1800s did breed fanciers devise strict breeding programs and classifications for this hardy family of exterminators. The name Cairn Terrier did not appear in print until 1887, though by then the Cairn-type terrier had been around for a long time. Cairns were known from at least the 1600s to dwell in the Western Highlands, most notably on the Isle of Skye, birthplace of their kinsman the Skye Terrier.Once upon a time in Scotland, a mound of stones used as a boundary or to mark a grave was called a “cairn.” On Highland game preserves, rodents would live within and beneath these rock piles. The Cairn Terrier, among the smallest of the go-to-ground terriers, was developed to dig into cairns and rout out the critters. When grouped in packs, these plucky little hunters also worked on foxes, otters, and other predators. The Cairn’s independence, courage, toughness, and alertness were qualities that served them well when digging into a cairn alone and confronting sharp-toothed mammals.By the turn of the 20th century, Britain’s terrier fanciers had sorted out the various Scotch earthdogs and began breeding Cairn, Scottish, Skye, and West Highland White terriers as distinct pure breeds. Cairns were exhibited at British dog shows of the era, and the AKC recognized the breed in 1913.The breed’s public profile received a tremendous boost in 1939, when a Cairn named Terry was chosen to play Toto in MGM’s production of “The Wizard of Oz.”","Black,Brindle,Cream,Gray,Red,Silver,Wheaten"
pekinese,Pekinese,6-9 inches,up to 14 pounds,12-14 years,Companion and Toy Dogs,china,"A Chinese legend says the Pekingese was created by the Buddha, who shrunk a lion down to dog size. The breed is of such antiquity that we will never know its true beginnings, but the fanciful origin myth does contain a grain of probable truth. The Peke was likely bred down to toy size from a larger dog, not by the Buddha, of course, but by his earthly servants, the Chinese emperors and their courtiers. For many centuries, Chinese nobles were preoccupied with the breeding of flat-faced lapdogs. The Peke, Pug, and Shih Tzu are surviving samples of their handiwork. It is said that stealing one of these dogs was a crime punishable by death.Pekes were unknown to the West until 1860, when British troops invaded Peking (Beijing) during the Opium Wars. As the Brits stormed the emperor’s magnificent summer palace with the intention of looting and burning it, the royal family killed their Pekes rather than see them fall into enemy hands. A British captain discovered the emperor’s aunt dead, a suicide, but five of her Pekes were still alive, hiding behind a drapery. The dogs were returned to England as a gift for a delighted Queen Victoria, and the breed quickly caught on among her subjects.By the late 1890s, Pekes had arrived in America. They were first registered by the AKC in 1906. Six years later, the breed made headlines when a Pekingese was one of only three dogs to survive the sinking of the Titanic.","Biscuit,Black,Black & Tan,Cream,Fawn,Gray,Red,White,Parti-Color"
